timestamp;location;time;date;hour;minute;customer_id;next;delta;total_time_customer;step;prev;checkout;dairy;drinks;fruit;spices
;;;;;;;;;;;;0;0;0;0;0
2019-09-02 07:03:00;dairy;2019-09-02 07:03:00;2019-09-02;7;3;1;checkout;2;2;1;;0;1;0;0;0
2019-09-02 07:03:00;dairy;2019-09-02 07:03:00;2019-09-02;7;3;2;checkout;3;3;1;;0;2;0;0;0
2019-09-02 07:04:00;dairy;2019-09-02 07:04:00;2019-09-02;7;4;3;checkout;2;2;1;;0;3;0;0;0
2019-09-02 07:04:00;dairy;2019-09-02 07:04:00;2019-09-02;7;4;4;checkout;4;4;1;;0;4;0;0;0
2019-09-02 07:04:00;spices;2019-09-02 07:04:00;2019-09-02;7;4;5;checkout;1;1;1;;0;4;0;0;1
2019-09-02 07:04:00;spices;2019-09-02 07:04:00;2019-09-02;7;4;6;dairy;1;25;1;;0;4;0;0;2
2019-09-02 07:04:00;spices;2019-09-02 07:04:00;2019-09-02;7;4;7;drinks;1;9;1;;0;4;0;0;3
2019-09-02 07:04:00;fruit;2019-09-02 07:04:00;2019-09-02;7;4;8;checkout;3;3;1;;0;4;0;1;3
2019-09-02 07:05:00;checkout;2019-09-02 07:05:00;2019-09-02;7;5;1;;0;2;2;dairy;1;3;0;1;3
2019-09-02 07:05:00;checkout;2019-09-02 07:05:00;2019-09-02;7;5;5;;0;1;2;spices;2;3;0;1;2
2019-09-02 07:05:00;dairy;2019-09-02 07:05:00;2019-09-02;7;5;6;spices;12;25;2;spices;2;4;0;1;1
2019-09-02 07:05:00;drinks;2019-09-02 07:05:00;2019-09-02;7;5;7;spices;4;9;2;spices;2;4;1;1;0
2019-09-02 07:06:00;checkout;2019-09-02 07:06:00;2019-09-02;7;6;2;;0;3;2;dairy;1;3;1;1;0
2019-09-02 07:06:00;checkout;2019-09-02 07:06:00;2019-09-02;7;6;3;;0;2;2;dairy;2;2;1;1;0
2019-09-02 07:06:00;dairy;2019-09-02 07:06:00;2019-09-02;7;6;9;fruit;6;7;1;;2;3;1;1;0
2019-09-02 07:06:00;fruit;2019-09-02 07:06:00;2019-09-02;7;6;10;checkout;2;2;1;;2;3;1;2;0
2019-09-02 07:06:00;drinks;2019-09-02 07:06:00;2019-09-02;7;6;11;checkout;2;2;1;;2;3;2;2;0
2019-09-02 07:06:00;spices;2019-09-02 07:06:00;2019-09-02;7;6;12;drinks;1;4;1;;2;3;2;2;1
2019-09-02 07:06:00;dairy;2019-09-02 07:06:00;2019-09-02;7;6;13;spices;7;10;1;;2;4;2;2;1
2019-09-02 07:06:00;fruit;2019-09-02 07:06:00;2019-09-02;7;6;14;checkout;3;3;1;;2;4;2;3;1
2019-09-02 07:07:00;checkout;2019-09-02 07:07:00;2019-09-02;7;7;8;;0;3;2;fruit;1;4;2;2;1
2019-09-02 07:07:00;drinks;2019-09-02 07:07:00;2019-09-02;7;7;12;checkout;3;4;2;spices;1;4;3;2;0
2019-09-02 07:07:00;spices;2019-09-02 07:07:00;2019-09-02;7;7;15;fruit;1;5;1;;1;4;3;2;1
2019-09-02 07:07:00;dairy;2019-09-02 07:07:00;2019-09-02;7;7;16;spices;2;4;1;;1;5;3;2;1
2019-09-02 07:08:00;checkout;2019-09-02 07:08:00;2019-09-02;7;8;4;;0;4;2;dairy;1;4;3;2;1
2019-09-02 07:08:00;checkout;2019-09-02 07:08:00;2019-09-02;7;8;10;;0;2;2;fruit;2;4;3;1;1
2019-09-02 07:08:00;checkout;2019-09-02 07:08:00;2019-09-02;7;8;11;;0;2;2;drinks;3;4;2;1;1
2019-09-02 07:08:00;fruit;2019-09-02 07:08:00;2019-09-02;7;8;15;checkout;4;5;2;spices;3;4;2;2;0
2019-09-02 07:09:00;spices;2019-09-02 07:09:00;2019-09-02;7;9;7;fruit;2;9;3;drinks;0;4;1;2;1
2019-09-02 07:09:00;checkout;2019-09-02 07:09:00;2019-09-02;7;9;14;;0;3;2;fruit;1;4;1;1;1
2019-09-02 07:09:00;spices;2019-09-02 07:09:00;2019-09-02;7;9;16;checkout;2;4;2;dairy;1;3;1;1;2
2019-09-02 07:10:00;checkout;2019-09-02 07:10:00;2019-09-02;7;10;12;;0;4;3;drinks;1;3;0;1;2
2019-09-02 07:11:00;fruit;2019-09-02 07:11:00;2019-09-02;7;11;7;checkout;2;9;4;spices;0;3;0;2;1
2019-09-02 07:11:00;checkout;2019-09-02 07:11:00;2019-09-02;7;11;16;;0;4;3;spices;1;3;0;2;0
2019-09-02 07:11:00;fruit;2019-09-02 07:11:00;2019-09-02;7;11;17;checkout;11;11;1;;1;3;0;3;0
2019-09-02 07:12:00;fruit;2019-09-02 07:12:00;2019-09-02;7;12;9;checkout;1;7;2;dairy;0;2;0;4;0
2019-09-02 07:12:00;checkout;2019-09-02 07:12:00;2019-09-02;7;12;15;;0;5;3;fruit;1;2;0;3;0
2019-09-02 07:12:00;fruit;2019-09-02 07:12:00;2019-09-02;7;12;18;dairy;2;5;1;;1;2;0;4;0
2019-09-02 07:12:00;spices;2019-09-02 07:12:00;2019-09-02;7;12;19;drinks;1;8;1;;1;2;0;4;1
2019-09-02 07:12:00;drinks;2019-09-02 07:12:00;2019-09-02;7;12;20;checkout;2;2;1;;1;2;1;4;1
